archive,case_name,placement_method,seed,placements_member,board_id,strategy,candidate_source,candidate_evaluated,selected,protected_candidate,gate_passed,gate_reason,required_travel_saving,travel_saving,machining_saving,extra_tool_events,baseline_tool_event_count,candidate_tool_event_count,baseline_travel_mode_cost,candidate_travel_mode_cost,baseline_machining_cost,candidate_machining_cost,baseline_detour_count,candidate_detour_count,hard_penalty,stability_penalty
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,150,current,topology,True,False,False,False,insufficient_machining_saving,2156.2255041821204,-1329.0141428178813,-1329.014142817883,10,70,80,10781.127520910602,12110.141663728484,29937.127520910602,31266.141663728486,19,37,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,150,current,beam,True,True,True,True,protected_beam,0.0,0.0,0.0,0,70,70,10781.127520910602,10781.127520910602,29937.127520910602,29937.127520910602,19,19,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,150,current,polished,True,False,False,True,no_extra_tool_events,0.0,0.0,0.0,0,70,70,10781.127520910602,10781.127520910602,29937.127520910602,29937.127520910602,19,19,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,149,current,topology,True,True,False,True,extra_events_justified,555.5580483355681,798.3033431064632,798.3033431064614,3,49,52,9259.3008055928,8460.997462486337,27562.3008055928,26763.99746248634,51,8,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,149,current,beam,True,False,True,True,protected_beam,0.0,0.0,0.0,0,49,49,9259.3008055928,9259.3008055928,27562.3008055928,27562.3008055928,51,51,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,149,current,polished,True,False,False,False,insufficient_travel_saving,555.5580483355681,523.4133517045266,523.4133517045266,3,49,52,9259.3008055928,8735.887453888274,27562.3008055928,27038.887453888274,51,51,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,149,current,fallback_polished,True,False,False,False,insufficient_travel_saving,555.5580483355681,523.4133517045266,523.4133517045266,3,49,52,9259.3008055928,8735.887453888274,27562.3008055928,27038.887453888274,51,51,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1003,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1003/placements.csv,149,current,topology,True,False,False,False,insufficient_machining_saving,918.8068116717403,-132.54032985594677,-132.54032985594677,5,51,56,9188.068116717403,9320.60844657335,27544.068116717404,27676.60844657335,52,8,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1003,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1003/placements.csv,149,current,beam,True,True,True,True,protected_beam,0.0,0.0,0.0,0,51,51,9188.068116717403,9188.068116717403,27544.068116717404,27544.068116717404,52,52,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1003,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1003/placements.csv,149,current,polished,True,False,False,False,insufficient_travel_saving,551.2840870030442,523.4133517045266,523.4133517045266,3,51,54,9188.068116717403,8664.654765012876,27544.068116717404,27020.654765012878,52,52,0.0,0.0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,rh_mcts_prefix_beam,seed_1003,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/rh_mcts_prefix_beam/seed_1003/placements.csv,149,current,fallback_polished,True,False,False,False,insufficient_travel_saving,551.2840870030442,523.4133517045266,523.4133517045266,3,51,54,9188.068116717403,8664.654765012876,27544.068116717404,27020.654765012878,52,52,0.0,0.0
